order_id,customer_id,restaurant_id,status,subtotal,tax,delivery_fee,tip,total,created_at,updated_at,cancellation_reason,cancelled_at
7518f330-3e83-440d-918f-8363fc42045f,string,string,CART,0.0,0.0,0.0,0.0,0.0,2026-03-23T01:09:12.390849,2026-03-23T01:09:12.390849,,
badge-ord-0001,badge-test-cust-0001,rest-alpha,CART,22.0,2.0,3.0,2.0,29.0,2026-01-05T12:00:00,2026-04-07T05:08:01.281395,,
badge-ord-0002,badge-test-cust-0001,rest-beta,DELIVERED,28.0,2.5,3.0,0.0,33.5,2026-01-12T18:00:00,2026-01-12T18:45:00,,
badge-ord-0003,badge-test-cust-0001,rest-gamma,DELIVERED,18.0,1.8,3.0,3.0,25.8,2026-01-20T19:30:00,2026-01-20T20:00:00,,
badge-ord-0004,badge-test-cust-0001,rest-alpha,DELIVERED,14.0,1.4,3.0,0.0,18.4,2026-02-03T12:00:00,2026-02-03T12:30:00,,
badge-ord-0005,badge-test-cust-0001,rest-beta,DELIVERED,19.0,1.9,3.0,1.0,24.9,2026-02-14T19:00:00,2026-02-14T19:30:00,,
badge-ord-0006,badge-test-cust-0001,rest-alpha,DELIVERED,9.0,0.9,3.0,0.0,12.9,2026-03-01T12:00:00,2026-03-01T12:20:00,,
ee64d254-b4d8-4b9d-87d7-dbcafa765be5,badge-test-cust-0001,4a67d1a7-7cdb-4114-a9a9-e087abc3eb6b,CONFIRMED,10.99,1.1,3.99,1.0,17.08,2026-04-08T05:14:40.723556,2026-04-08T05:14:54.864232,,
04d776e1-2ee1-474f-b66d-5a94aa2fd169,badge-test-cust-0001,4a67d1a7-7cdb-4114-a9a9-e087abc3eb6b,CONFIRMED,10.99,1.1,3.99,0.0,16.08,2026-04-08T05:27:26.224994,2026-04-08T05:27:33.615322,,
1028dadc-c0ab-4dee-95dd-2c74c61eb72d,badge-test-cust-0001,4a67d1a7-7cdb-4114-a9a9-e087abc3eb6b,CONFIRMED,10.99,1.1,3.99,0.0,16.08,2026-04-08T05:33:09.884543,2026-04-08T05:33:15.483991,,
03613632-e697-445c-9ae5-1c82f6696f53,badge-test-cust-0001,4a67d1a7-7cdb-4114-a9a9-e087abc3eb6b,CONFIRMED,10.99,1.1,3.99,0.0,16.08,2026-04-08T05:43:41.000981,2026-04-08T05:43:50.855351,,
247991dd-a9a1-498a-bf13-dce366d57fed,badge-test-cust-0001,4a67d1a7-7cdb-4114-a9a9-e087abc3eb6b,CONFIRMED,10.99,1.1,3.99,0.0,16.08,2026-04-08T05:45:41.194699,2026-04-08T05:45:52.399843,,
3cd9be83-5641-4474-8929-b75e52108fce,badge-test-cust-0001,4a67d1a7-7cdb-4114-a9a9-e087abc3eb6b,CONFIRMED,10.99,1.1,3.99,0.0,16.08,2026-04-08T05:49:59.156258,2026-04-08T05:50:14.894398,,
